content,is_spam
Check out this playlist on YouTube:﻿,1
Please friend read my book and repass: http://www.4shared.com/web/preview/pdf/CjFofTxeba?﻿,1
Check out this video on YouTube:﻿,1
Katy Perry's songs are the best of the songs of women artists.﻿,0
hahahahah ♥♥♥♥ :D like vines ?  Subscribe to me for daily vines,1
"I shared my first song &quot;I Want You&quot;, and I hope you&#39;ll like it. Take a listen!✌️😊 <a href=""https://youtu.be/-YfUY4gKr1c"">https://youtu.be/-YfUY4gKr1c</a>﻿",1
Check out this video on YouTube:﻿,1
"hot,hot﻿",0
Check out this video on YouTube:﻿,1
CHECK MY CHANNEL OUT PLEASE. I DO SINGING COVERS﻿,1
Is that Megan Fox?﻿,0
Nice vídeo shakira good﻿,0
Hey guys love this but check out this girl name cause she knows how to dance so search up ej ba dancing.﻿,1
Check out my channel for crypto news!,1
Check out this playlist on YouTube:﻿,1
"You guys should check out this EXTRAORDINARY website called ZONEPA.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at ZONEPA.COM ! Visit Zonepa.com and check it out! The plausible summer submits the behavior. When does the grass check the peaceful seat? The country strategizes the edge.",1
Check out this video on YouTube:<br /><br /><br /><br />﻿,1
Love the way you lie - Driveshaft﻿,0
"Believe that Jesus Christ is your savior for all your sins. If you truly believe in Jesus Christ to be your savior for all your sins then you will go to Heaven. If you believe in Jesus Christ then you are saved and you are in salvation and you have gained God’s righteousness. It matters not how much you have sinned in the past, in the present and especially in the future. Believe that Jesus Christ is your savior and you will go to Heaven forever and that is the whole truth. Spread the truth. ",1
Check Out The New Hot Video By Dante B Called Riled Up,1
EVERYBODY PLEASE VOTE KATY AT EMA 2014 !!!!!  Best song  Best female Best pop Best live Best look  Best video  PLEASE VOTE KATY !!!!! PLEASE PLEASE PLEASE !!!!! VOTE VOTE VOTE !!!!! KATY KATY KATY !!!!!﻿,1
OMG 2/7 People watched this video because there are 7 billion people in the  world and 2 billion watched this﻿,0
Love this soooooooooooooooooooooooooooooooooooooooooooooooooo much﻿,0
THIS IS SHIT AND SOOOOO AUTOTUNED﻿,0
Boooobs﻿,0
Remeber when this song was good﻿,0
Check out this video on YouTube:﻿,1
