content,is_spam
Never get old ﻿,0
sub my channel for no reason -_-﻿,1
"Please help me give my son a grave.  http://www.gofundme.com/BishopsGraveMarker Or please just share it on your  fb page, I do not have one anymore.﻿",1
Check out this playlist on YouTube:﻿,1
"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!  The metal drews the reflective effect. Why does the expansion intervene the hilarious bit? The sneeze witnesss the smoke.",1
nice ..very nice﻿,0
How are there 2 billion views and theres only 2 million people in the  world!?!?!?!! MULTIPLE ACCOUNTS!!!1111﻿,0
https://viralangels.com/user/d4aaacwk﻿,1
"Hey guys, I&#39;m a human.<br /><br /><br />But I don&#39;t want to be a human, I want to be a sexy ****ing giraffe.<br /><br /><br />I already have the money for the surgery to elongate my spinal core, the surgery to change my skin pigment, and everything else! Like this post so others can root me on in my dream!!!!<br /><br /><br />Im ****ing with you, I make music, check out my first song! <a rel=""nofollow"" class=""ot-hashtag"" href=""https://plus.google.com/s/%23giraffebruuh"">#giraffebruuh</a>﻿",1
5 years later i still love this song <br />~Axy665﻿,0
"I love this song, it´s for empowering every woman :)  ""you´re gonna hear me roar"" ;)﻿",0
Please subscribe to me﻿,1
She is fit﻿,0
Best song ever ﻿,0
Shakira :-*,0
like this comment then type 1337,1
Please share and help to my Friend! http://www.gofundme.com/jormis  Thank  you very much!﻿,1
Shakira - Waka Waka <br />LOVE THIS SONG!!!!!!!!!!!!!!!﻿,0
curti? click here ?  https://www.facebook.com/demiilovatofas?ref=hl   https://www.facebook.com/pages/Frases-Secretas/448800865296855?ref=hl﻿,1
Love this song! My soccer team made a cd for our couch with this song on it!﻿,0
Nezo and Ed<br />Like&amp;share this page on facebook please ﻿,1
I love this song so much &lt;3<br />Keep em&#39; coming!﻿,0
That shake and that golden and black robot were really partying ﻿,0
"I know that maybe no one will read this but PLEASE TYPE IN &quot;deazy99&quot; I&#39;m a rapper with a dream. I know you must see like millions of those on here everyday but please check out my music and subscribe if you&#39;d like thank you, i would love nothing more than to have a decent following on youtube from people if anyone reading this could give it a &quot;THUMBS UP&quot; because what some might see as just a simple button press could make my dream come true..thank you again for your time &amp; may god bless you",1
Shakira :-*,0
Im just to check how much views it has﻿,0
Almost a billion﻿,0
Eminem and Rihanna sing the song very well.﻿,0
Waka waka she rules,0
PSY - GANGNAM STYLE (강남스타일) M/V: http://youtu.be/9bZkp7q19f0﻿,0
music yeah﻿,0
It looks so real and my daughter is a big fan and she likes a lot of your  songs.﻿,0
plese subscribe to me﻿,1
"I'm sorry Katy Perry, I was being weird. I still love you &lt;3﻿",0
"She is good. Does she make any more music? If she doesn't, she should!﻿",0
katy perry will u sit on my face please. it would be really awesome and  i'll give you 5 dollars. ok if you want to do this then please call me and  subscribe to my channel first ok thats good and then u sit on my face and  ill get an erection then you sit more k?﻿,1
Katy Perry - Roar (Official): http://youtu.be/CevxZvSJLk8﻿,0
this song is awesome. these guys are the best. love this video too its hilarious lol. im getting popular fast because i rap with meaning. thumbs up if you piss next to the water in the toilet so it doesnt make noise﻿,1
My 6th grade teacher looked exactly like Katy Perry come to think of it...﻿,0
Check out this video on YouTube:﻿,1
so cute that monkey *-*! ﻿,0
"Youtube comments in a nut shell:<br /><br />.First<br />.301 club<br />.Skip to <a href=""http://www.youtube.com/watch?v=KQ6zr6kCPj8&amp;t=3m57s"">3:57</a> and close your eyes<br />.Advertisements<br />.like this comment for no reason<br />.Christianity arguements<br />.Other religious arguements<br />.Console wars<br />.#PCMASTERACE<br />.Trolls<br />.&quot;How is there 1 million views on the this video if theres online 10 people on earth/<br />.Complaints<br />.Pewdiepie fangirls<br />.Minecraft scrubs<br />./r/MontageParodies<br /><br /><br />AND ANY OTHER SHIT!!﻿",1
Check out this video on YouTube:﻿,1
"You guys should check out this EXTRAORDINARY website called ZONEPA.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at ZONEPA.COM ! Visit Zonepa.com and check it out! How does the mammoth waste achieve the shock? How does the limit reduce the delicate minute? How does the meaty scale adapt the oil?",1
who the **** cheats on megan fox﻿,0
cool﻿,0
Hi. Check out and share our songs.,1
Abomination! Subscribe if you agree :| party here in my channel. cool lights.﻿,1
;-)﻿,0
adf.ly / KlD3Y,1
I LOVE YOU KATTY PERRY &lt;3 ﻿,0
The population of world is more than 7 billion﻿,0
Thumbs up if FE-FE-FE-FE-FEGELEIN brought u here﻿,1
so beutiful,0
Suscribe my channel please﻿,1
Love this song so much! One of my faves! Xxx﻿,0
First they were fighting... Then they were making out...﻿,0
"now its 1,884,034,783 views! pls. comment the view count the next hour :P﻿",0
Hello I&#39;am from Palastine﻿,1
even without make up she is still  hot     http://uk.eonline.com/eol_images/Entire_Site/2012430/reg_1024.katy.mkup.mh.053012.jpg ﻿,1
Subscribe to my Youtube Channel!! :) Suscribite a mi canal de Youtube -WhatUKnow,1
Check out this video on YouTube:﻿,1
Eminem is the greatest artist to ever touch the mic.﻿,0
Waka waka,0
I think he was drunk during this :) x)﻿,0
This Song Was Good Until It Got Overplayed The Hell Out Of On Radio﻿,0
OMG over 2 billion views!﻿,0
This video is so racist!!! There are only animals.﻿,0
On 0:02 u can see the camera man on his glasses....﻿,0
subscribe me if u love eminem,1
i watched this because of the large amount of views and now i am convinced it is because that girl is so hot,0
"Hello everyone, It Is not my intention to spam and am truly sorry If anyone Is annoyed by this but just please hear me out.  I am a rapper, singer, music producer and a song writer and have been making music for a while now, eight years to be exact.  I enjoy making all types of music that anyone can listen to, doesn&#39;t have me talking about killing anyone and most importantly, focuses on the quality of the music.  Please check out my page, It&#39;s only a click away.  Thank you and have a nice day :)",1
Katycat! https://m.facebook.com/profile.php?id=1461302180794905﻿,1
this song never get's old &lt;3 ﻿,0
all u should go check out j rants vi about eminem,1
Subscribe to me i subscribe back!!!! Plus i have a nice ass lol﻿,1
hey guys i know you wanna skip over this but please take a chance and check out my music I&#39;m a young up and coming rapper with a big dream and i appreciate constructive critisism. so please have a look thank you for your time,1
Katy Perry is lion﻿,0
"How did THIS Video in all of YouTube get this many views and likes? Why  Gangnam style? I don't have a problem with it, i just don't understand the  phenomena behind it, it's just like any other random music video out  there. ﻿",0
The best world cup song ever!!!!﻿,0
https://www.indiegogo.com/projects/cleaning-the-pan--2    please halp me  with my project﻿,1
Thanks to this video we know that Nokia phones can survive a plane crash.﻿,0
http://www.twitch.tv/daconnormc﻿,1
Check out this playlist on YouTube:a﻿,1
Song name??﻿,0
"Hello everyone :) I know most of you probably pass up these kind of comments, but for those who are still reading this, thanks! I don’t have any money for advertisements, no chance of getting heard, nothing. I live in such a small town... If this comes off as spam, sorry. I’m an instrumental songwriter from Columbus, Mississippi. Please go to my channel and check out my original music. It would be highly appreciated if you thumbs up this comment so my music can be heard! Thank you, Adam Whitney ",1
Hi guys ! !  Check Out My Remixes ! !  Thanx You&#39;re Great ! ! SWAG ! !,1
